rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014
0.254622,0.248601,0.432351,0.568024,0.400443,0.381985,0.432006,0.392303,0.261184,0.299437,0.370666,0.354889,0.319825,0.493037,0.7495,1.82686,0.322388,7.77556
0.256975,0.247754,0.396671,0.362863,0.388128,0.480695,0.354158,0.299835,0.210586,0.396692,0.24305,0.276583,0.305985,0.495103,0.452697,1.10693,0.482081,1.0963
0.227376,0.203179,0.359206,0.350703,0.396491,0.336283,0.339796,0.294341,0.184755,0.319119,0.256438,0.392766,0.51644,0.455162,0.818305,1.70979,0.339912,1.83303
0.472668,0.501461,0.737731,0.90932,0.671609,0.711263,0.626649,0.49432,0.530266,0.721017,0.469695,0.927121,0.786413,1.39071,1.17229,3.29837,0.907965,4.31796
0.638782,0.441777,0.997334,1.04352,0.838011,0.673021,0.863008,0.841079,0.421825,0.536885,0.664238,0.690685,0.609048,0.938528,0.951905,4.32354,1.00853,5.3811
0.17738,0.164252,0.171312,0.310137,0.278892,0.219546,0.231083,0.196028,0.180229,0.158116,0.209981,0.291046,0.206703,0.415313,0.244123,0.610447,0.246396,4.78319
0.637712,0.394469,0.66016,1.14252,0.857914,0.935828,0.852473,0.668267,0.677608,0.658686,0.483889,0.991462,0.843935,0.675008,1.35826,6.79906,0.936649,9.87153
0.198928,0.195254,0.310566,0.328548,0.268187,0.295076,0.229928,0.257819,0.16829,0.281423,0.199112,0.166405,0.211416,0.290206,0.328549,0.705439,0.296636,1.00585
0.326584,0.284683,0.404531,0.463059,0.54245,0.528924,0.34952,0.321456,0.378262,0.410683,0.407644,0.468175,0.441078,0.471508,0.503916,2.03149,0.470172,7.89921
0.14391,0.111415,0.157161,0.218545,0.210994,0.180896,0.156563,0.185151,0.1261,0.221878,0.148217,0.288639,0.268291,0.2657,0.579774,0.913836,0.225396,3.66365
0.144796,0.154318,0.289327,0.304947,0.299031,0.264971,0.223681,0.139693,0.182444,0.278242,0.257934,0.324639,0.242397,0.487375,0.482673,1.31908,0.166572,1.27792
0.197619,0.19406,0.32841,0.271637,0.290754,0.325604,0.309202,0.319418,0.242861,0.305063,0.301391,0.320805,0.36247,0.397339,0.555377,1.76951,0.320784,1.6478
0.407222,0.281202,0.546777,0.484764,0.552021,0.433754,0.362575,0.347106,0.353081,0.345679,0.295317,0.484503,0.341498,0.439851,0.509684,1.40329,0.878084,3.47071
0.277526,0.222669,0.465826,0.527976,0.534028,0.356587,0.437442,0.244094,0.270189,0.372688,0.201688,0.433848,0.422728,0.345047,0.436588,1.09478,0.26945,2.8714
0.191537,0.246668,0.27881,0.226351,0.429296,0.303837,0.247353,0.250697,0.188337,0.242628,0.204233,0.262943,0.309673,0.265078,0.382831,0.913586,0.171155,3.00995
0.12864,0.0937864,0.125516,0.111286,0.194825,0.145614,0.129071,0.102015,0.0934785,0.121476,0.121127,0.126594,0.103184,0.17628,0.137158,0.403113,0.110684,0.867583
