sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015
209.858,200.622,192.414,185.169,182.709,185.655,192.892,211.824,239.165,268.571,287.296,309.885,322.641,326.6,327.491,329.216,329.545,335.187,349.66,380.733
268.109,257.782,250.419,244.556,242.495,244.378,246.293,255.032,266.727,277.393,278.67,291.442,299.25,301.187,299.938,297.424,291.254,286.306,283.101,286.38
179.75,175.18,171.408,166.939,162.942,160.612,161.315,170.79,186.254,203.232,209.123,220.198,225.421,227.02,231.24,238.272,242.476,247.791,257.026,275.497
172.193,165.69,159.551,152.209,144.896,139.687,134.865,138.881,149.846,162.194,165.757,173.939,177.02,176.915,176.299,176.898,176.337,179.303,184.394,194.343
197.215,193.198,189.58,184.895,180.759,178.813,176.868,182.023,189.484,196.12,191.84,197.465,200.827,202.86,204.665,207.495,207.76,211.946,221.651,241.687
130.665,126.588,122.951,119.595,116.81,116.462,114.897,117.556,122.174,127.52,125.836,135.373,142.271,145.204,146.785,148.852,149.717,153.864,161.587,173.566
397.586,390.207,381.269,373.473,371.369,379.249,396.491,428.18,467.933,506.946,528.887,546.959,548.752,540.115,532.156,533.857,546.753,582.088,649.502,769.057
177.729,173.672,170.75,166.596,162.734,160.599,160.149,166.565,178.289,191.554,195.891,205.091,206.937,204,201.326,200.135,196.84,196.2,199.93,210.945
119.385,117.988,118.727,117.672,115.255,112.952,109.935,114.834,124.736,136.75,140.261,150.902,157.343,158.858,158.21,157.946,156.159,157.176,163.417,178.552
252.153,240.075,229.669,219.254,211.34,208.792,209.422,218.587,230.386,242.185,242.473,249.01,250.045,246.079,241.034,236.557,230.548,231.448,243.861,274.517
184.581,178.44,170.722,162.032,153.312,146.258,139.546,141.199,147.31,154.809,154.561,162.517,167.998,171.896,174.474,177.275,178.322,182.511,192.517,215.64
422.539,395.211,369.12,350.518,342.149,345.403,355.507,377.823,406.284,433.976,445.471,453.586,452.121,452.374,464.061,487.335,512.492,539.179,575.754,649.866
275.096,267.456,260.972,255.521,253.565,258.048,266.031,283.593,308.94,336.117,351.379,366.956,372.039,370.569,368.938,374.008,388.044,424.047,491.267,604.086
210.359,211.206,210.783,208.299,204.496,202.365,202.77,215.545,236.678,259.247,268.357,284.948,294.516,297.649,296.522,295.29,292.973,298.321,319.445,374.254
