ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,umsy1,q1,q2,q3,q4,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
0.393506,0.922803,0.283263,0.276326,0.088561,0.0588235,1.47059, 445.23, 101.554, 56.0319, 17.6674, 1,0.128165,0.134033,0.105982,0.0982704,239.261,9.41385,0.946998,10.9174,2.46964,9,0.5,8.61806,1.60498,9.12364,1.13955,143.023
0.732773,0.822637,0.32856,0.637964,0.214594,0.0588235,1.47059, 563.528, 147.046, 74.3959, 17.4834, 1,0.0564465,0.0892581,0.0701843,0.054456,383.532,9.4919,0.945884,9.85974,2.29861,9,0.5,9.48159,1.67146,9.1382,1.19839,160.741
0.483925,0.921392,0.31743,0.354695,0.174795,0.0588235,1.47059, 407.989, 89.4519, 57.8399, 24.5864, 1,0.159923,0.126617,0.127828,0.104305,232.194,9.2888,0.931585,11.4369,2.29258,9,0.5,8.89252,1.37782,8.97696,1.15526,145.771
0.665308,0.955808,0.304468,0.490712,0.112875,0.0588235,1.47059, 625.748, 127.443, 88.3817, 35.1937, 1,0.093239,0.107321,0.0757825,0.0552458,383.322,9.38961,0.903567,11.0545,2.3687,9,0.5,8.78534,1.47327,8.41829,1.06238,149.657
0.472056,0.916224,0.322904,0.406367,0.158356,0.0588235,1.47059, 380.303, 83.5384, 54.7327, 23.991, 1,0.128495,0.116372,0.104622,0.08227,282.98,9.15796,0.913844,10.9188,2.09619,9,0.5,8.75102,1.39622,8.64369,1.02169,147.495
0.223157,0.918753,0.279052,0.203339,0.0784866,0.0588235,1.47059, 262.169, 60.5155, 32.2151, 10.5665, 0.999974,0.1254,0.168562,0.1742,0.118998,189.571,9.08181,0.974638,9.6737,2.42503,9,0.5,9.65908,1.59347,8.94161,1.14238,153.24
0.559109,0.926272,0.308011,0.394006,0.128543,0.0588235,1.47059, 510.24, 113.638, 69.6667, 27.2044, 1,0.236936,0.130494,0.121102,0.0942253,318.274,9.88571,1.02003,14.4103,2.82366,9,0.5,9.64467,1.54369,9.4589,1.17903,139.282
0.743641,0.781362,0.322859,0.513056,0.187077,0.0588235,1.47059, 599.323, 166.737, 74.0424, 11.9688, 0.999994,0.150898,0.112261,0.105949,0.0730044,360.101,9.46127,0.960403,12.6164,2.39395,9,0.5,9.83023,1.57038,9.144,1.12106,147.129
1.02901,0.927701,0.351092,0.700372,0.254624,0.0588235,1.47059, 660.421, 138.845, 104.494, 39.4875, 1,0.19909,0.0980556,0.0819386,0.0933703,398.778,9.70938,0.997897,13.6012,2.23394,9,0.5,8.88415,1.36098,10.0156,1.16233,144.375
0.496722,0.986725,0.321547,0.35781,0.161929,0.0588235,1.47059, 404.692, 74.1429, 62.1029, 40.6827, 1,0.188371,0.119167,0.112085,0.121227,252.505,9.50315,0.98156,13.2952,2.80088,9,0.5,8.98355,1.46414,10.0578,1.27764,151.422
